OpenDSS Value (p.u.),Bus
1.0039082706890086,p17udm38451
1.0039128611832573,p17ulv38145
1.0039153744914597,p17udm14899
1.0039439528582885,p17udm7797
1.0039485290566739,p17ulv57255
1.0039773256256181,p17udm38138
1.003981516069043,p17udt15020lv
1.0039912140257647,p17ulv57296
1.0039928149116089,p17udm23427
1.0039984615686106,p17ulv57234
1.00400101778684,p17ulv37311
1.0040203781140558,p17udm38453
1.004027177128898,p17udm32824
1.0040311776138617,p17ulv32138
1.004044368580505,p17udm38142
1.0040760358889496,p17ulv34571
1.0040765687360425,p17udm23438
1.004090878657356,p17ulv57215
1.004104691389275,p17ulv34340
1.0041132352840676,p17ulv37871
1.0041199154041363,p17ulv37315
1.0041213383132737,p17ulv57157
1.0041300515420568,p17ulv57671
1.0041442562719758,p17udm38484
1.004146160797262,p17ulv37454
1.004162348609523,p17udm56554
1.0041770946323028,p17ulv37463
1.0041980768099457,p17ulv57785
1.0042027603133366,p17udm38140
1.0042121002931177,p17udm35148
1.004214332243071,p17ulv57245
1.0042143786488897,p17udm38482
1.0042162908448442,p17udt10077lv
1.0042344176393492,p17ulv57771
1.0042778671964423,p17ulv14058
1.004282212083289,p17udm35426
1.0042868348045193,p17udm56881
1.0043413897438036,p17udm38454
1.0043439220166637,p17ulv7018
1.0043556838694863,p17ulv37367
1.00436922697943,p17udm56553
1.0043878150071388,p17udm56471
1.0043889080921973,p17ulv22475
1.004404380732592,p17udm35279
1.0044297893161493,p17ulv34569
1.0044319908233434,p17udm38452
1.0044494283287855,p17ulv55587
1.004459579301975,p17ulv57732
1.0044665834867512,p17ulv34503
1.0044692873643415,p17ulv38091
1.0044702440744766,p17udm34184
1.0044732399237257,p17udm56897
1.004482938996184,p17ulv38240
1.0044843433137722,p17udm56576
1.0045195383272911,p17ulv39476
1.00452208953165,p17udm56570
1.0045270398948096,p17udm23404
1.004542493689399,p17ulv57222
1.0045456833983932,p17udm35206
1.004560802419812,p17udm56898
1.004571671979864,p17udm56572
1.0046186127797072,p17udm23376
1.0046537122537043,p17ulv57431
1.0046568725545693,p17ulv37734
1.0046733477613845,p17udm56555
1.0046762149164459,p17ulv34517
1.0046818994165756,p17ulv34624
1.0046938079219,p17ulv33621
1.0047091648973048,p17ulv34439
1.0047210758158718,p17ulv38193
1.0047376645403379,p17ulv37358
1.0047468734832155,p17udm56991
1.004768660140627,p17ulv57287
1.0047866122537796,p17udm35143
1.0048001582300057,p17ulv6698
1.0048104689647062,p17ulv37331
1.004816777345555,p17udt10111lv
1.0048189033337975,p17udm56875
1.0048232155029644,p17udm35146
1.0048341708346322,p17ulv37859
1.004848447864412,p17udm56469
1.004857856051827,p17ulv37918
1.0048641331926098,p17ulv34378
1.0048771851241025,p17ulv34379
1.0048869712889559,p17ulv32841
1.0049403923407367,p17ulv37764
1.0049706228117823,p17ulv34494
1.0049714223028465,p17udm56578
1.00498402729272,p17ulv37779
1.0049910797207717,p17udm35147
1.0050120044088084,p17ulv34381
1.0050713007117642,p17ulv12159
1.0050856699526336,p17ulv57388
1.0050963263800128,p17ulv22487
1.0051042069908898,p17udm38348
1.0051087805543717,p17ulv57458
1.0051088585815533,p17udm38041
1.0051141679872462,p17ulv37907
1.0051591700712015,p17ulv22512
1.0051610820570227,p17ulv57515
1.0051682378774514,p17udm35425
1.0051717123015838,p17ulv34365
1.0051896487032188,p17ulv57343
1.0051949455566866,p17ulv38166
1.00519750988615,p17udt15016lv
1.0051979461204528,p17ulv37791
1.0052048955321768,p17ulv22460
1.0052072587854393,p17ulv38021
1.0052079413289048,p17udt10129lv
1.0052398067788442,p17udt10118lv
1.005255015324142,p17ulv37756
1.0052620505149514,p17ulv37400
1.0052741644049772,p17ulv39576
1.0052912983963842,p17udm56623
1.0052991471959731,p17udm35277
1.0053118406859674,p17udm37942
1.0053170924886206,p17udm35144
1.00531858134607,p17ulv22418
1.0053328749238064,p17ulv32083
1.0053518732482285,p17ulv57264
1.005370905633246,p17ulv57133
1.005385715496623,p17udm38570
1.0053864319577615,p17ulv22501
1.0054030194877788,p17udt15019lv
1.0054061537164232,p17ulv37309
1.0054212267649805,p17ulv57449
1.005440164493248,p17ulv55304
1.0054479769188345,p17udm38202
1.0054638044208402,p17ulv38136
1.0054771455922409,p17ulv37593
1.0054870564653269,p17ulv57462
1.0054957691924322,p17ulv57331
1.0055140544462255,p17udm23437
1.0055206669614503,p17udt10050lv
1.0055240584218512,p17udt15111lv
1.0055422403854437,p17ulv57582
1.005550570611803,p17ulv37407
1.005576435880077,p17ulv34615
1.005582893254398,p17udm38298
1.0055870399430604,p17ulv37969
1.0056011496130022,p17udm56960
1.005611834513137,p17udm23378
1.0056130358016433,p17udm35239
1.005616916958531,p17udm38295
1.005620859851468,p17udt15021lv
1.0056555861277268,p17udt15001lv
1.0056791605260866,p17ulv34531
1.0056935777260887,p17ulv34637
1.005697431002203,p17udm38021
1.0057011974895338,p17udt15084lv
1.0057121129829967,p17ulv6701
1.0057129033874608,p17ulv22524
1.0057226933334251,p17udm56467
1.005723216222876,p17udm56992
1.0057257729408897,p17ulv37284
1.005728295766739,p17ulv34677
1.0057352148356213,p17ulv6564
1.0057574266995677,p17udm56996
1.0057871861032837,p17udm35308
1.005792088674316,p17udm56876
1.0057936278629567,p17ulv34372
1.0058180845716767,p17ulv57591
1.0058181284109136,p17ulv22528
1.0058274599375558,p17ulv6824
1.0058485867724398,p17ulv57315
1.0058741505348832,p17udm35456
1.0058757709134574,p17ulv34489
1.005891291040255,p17ulv34590
1.0058932192605505,p17ulv34462
1.0059060174871952,p17ulv37818
1.005920243319065,p17ulv57430
1.0059359225526185,p17udm35389
1.0059437625346574,p17ulv33838
1.0059450761586528,p17ulv39783
1.0059494160238138,p17ulv32353
1.0059625933087513,p17udm35328
1.0059934822162941,p17ulv57410
1.0060135691149972,p17udm35306
1.0060370421613753,p17udt9289lv
1.0060437900874148,p17udm38342
1.0060454433803816,p17udt15031lv
1.0060526284776214,p17ulv32820
1.006056827488436,p17udt15080lv
1.006061723733233,p17udt6082lv
1.0060994211828929,p17ulv9197
1.0061111525055435,p17udt10052lv
1.006111838292739,p17ulv37596
